,precision,recall,f1-score,support
airplane,0.6831578947368421,0.649,0.6656410256410257,1000.0
automobile,0.7269116186693148,0.732,0.7294469357249627,1000.0
bird,0.5202185792349727,0.476,0.4971279373368146,1000.0
cat,0.4578441835645678,0.429,0.4429530201342282,1000.0
deer,0.5735805330243338,0.495,0.5314009661835749,1000.0
dog,0.5310344827586206,0.539,0.5349875930521092,1000.0
frog,0.6101413133832086,0.734,0.6663640490240581,1000.0
horse,0.6779497098646035,0.701,0.6892822025565388,1000.0
ship,0.7307297019527236,0.711,0.7207298530157121,1000.0
truck,0.6300997280145059,0.695,0.6609605325725154,1000.0
accuracy,0.6161,0.6161,0.6161,0.6161
macro avg,0.6141667745203694,0.6161000000000001,0.613889411524154,10000.0
weighted avg,0.6141667745203693,0.6161,0.613889411524154,10000.0
